index,match_id,x,y,xG,minute,result,team,h_a,player,home_score,away_score,home_goal_scored,away_goal_scored,test_home_score,home_current_score,away_current_score
903,18236,0.874000015258789,0.40299999237060546,0.02394537441432476,54,MissedShots,Bournemouth,a,Jefferson Lerma,0,0,0,0,,0,0
891,18236,0.9590000152587891,0.5259999847412109,0.6008741855621338,61,SavedShot,Liverpool,h,Roberto Firmino,0,0,0,0,,0,0
892,18236,0.9680000305175781,0.48400001525878905,0.6703080534934998,61,Goal,Liverpool,h,Roberto Firmino,0,0,1,0,,0,0
893,18236,0.905,0.5459999847412109,0.06195863336324692,65,MissedShots,Liverpool,h,Virgil van Dijk,0,0,0,0,,1,0
894,18236,0.9109999847412109,0.529000015258789,0.029944755136966705,65,BlockedShot,Liverpool,h,Virgil van Dijk,0,0,0,0,,0,0
904,18236,0.7780000305175782,0.575,0.03960910812020302,67,BlockedShot,Bournemouth,a,Kieffer Moore,0,0,0,0,,0,0
895,18236,0.9180000305175782,0.48400001525878905,0.5863476395606995,74,MissedShots,Liverpool,h,Mohamed Salah,0,0,0,0,,0,0
896,18236,0.8690000152587891,0.5840000152587891,0.11990983039140701,79,Goal,Liverpool,h,Fabio Carvalho,0,0,1,0,,0,0
897,18236,0.955999984741211,0.445,0.12578357756137848,84,Goal,Liverpool,h,Luis Díaz,0,0,1,0,,1,0
898,18236,0.955,0.2560000038146973,0.060627225786447525,89,SavedShot,Liverpool,h,James Milner,0,0,0,0,,1,0
905,18237,0.045999999046325686,0.49900001525878906,0,3,OwnGoal,Manchester City,h,John Stones,0,0,0,1,,0,0
906,18237,0.89,0.6020000076293945,0.05861816555261612,8,MissedShots,Manchester City,h,Phil Foden,0,0,0,0,,0,1
907,18237,0.919000015258789,0.43400001525878906,0.023860357701778412,12,MissedShots,Manchester City,h,Erling Haaland,0,0,0,0,,0,0
924,18237,0.9069999694824219,0.504000015258789,0.07586278021335602,20,Goal,Crystal Palace,a,Joachim Andersen,0,0,0,1,,0,0
908,18237,0.9719999694824218,0.72,0.08428048342466354,22,MissedShots,Manchester City,h,Erling Haaland,0,0,0,0,,0,1
925,18237,0.720999984741211,0.5779999923706055,0.01611318252980709,27,SavedShot,Crystal Palace,a,Cheick Oumar Doucoure,0,0,0,0,,0,0
909,18237,0.9059999847412109,0.595999984741211,0.04273604974150658,31,MissedShots,Manchester City,h,Erling Haaland,0,0,0,0,,0,0
910,18237,0.925,0.539000015258789,0.31807729601860046,38,MissedShots,Manchester City,h,Phil Foden,0,0,0,0,,0,0
